country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,34.6,34.9,35.7,36.5,37.2
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,45.3,,,,,
South Korea,,,,,,,,,,,53.9,53.6,55.9,55.4,55.1,55.1,53.9,55.4,55.8,54.5,53.8,53.4,52.5,52.7,52.4,52.5,52.3,51.4,50.1,50.4,50.6,50.4,49.8,49.1,48.7,48.1,47.9,47.1,46,45.9,45.1,43.9,44.6,43.1,43.8,43.6,43,42.8
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,42.6,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,41.5
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,41.2,,,41.1,41.6,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,41.7,40.6,40,39.6,38.8,38.6,38.9,38.9,39.4,39.9,39.2,39.2,39,38.8,38.9,38.8,38.8,38.9,38.3
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,39.9,40.2,39.8,39.8,39.4,39.3,39.2,39.2,39.4,38.8,38.7,38,38.4,38.1,37.8,37.7,37.4,38.1,38.1,38,38.4,37.9,38.3,38.2,37.9,37.6
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,41.2,43.2,43.4,43.2,43.7,43.6,43.1,41.8,42.2,42.2,41.6,40.4,39.6,39.1,39.2,39.2,39.1,39.3,39.2,39.3,38.9
"Macao, China",,,,,,,,,,,,,,,,,,,,48,47.9,47.9,48.7,48.5,48.2,48,47.9,48,48.4,48.3,48.1,48.1,47.8,47.3,48,47.5,47.1,46.9,46.9,46,47,46,46,47,47,46,46,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,44.9,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,38.8,39.5,38.7,38.6,38.2,38.3,37.4,38
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,33.8,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,48.5,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,42.5,42.7,43.8,43.7,43.4,43.7,43.4,43.6,44,44.2,44.5,44.2,44.8,45.7,46.3
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,43.2,,,,41.5,41.7,41.9,41.7,41.5,41.5,42.2
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,42.6,42.9,
Malta,44.8,44.5,42.5,42.3,41.5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,42.3,35.3,40.3,38.9,40.9,39.2,39.4,39.6,39.6,39.3,38.7,38.3,38.3,38,37.5,37.5,38.3,37.9
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,,48.3
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,43.1,43.5,42.4,43.1,42.9,42.6
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,48,47,48,47,48,49,48,48,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,
