country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Costa Rica,,,,,,,,,,,,657M,723M,763M,832M,889M,971M,984M,1.07B,1.03B,1.21B,1.31B,1.45B,1.48B,1.58B,1.7B,1.85B,2.02B,2.08B,1.46B,1.56B,1.61B,1.66B,1.79B,1.92B,1.97B,2.04B,2.12B,2.27B,2.38B,2.51B,2.61B,2.75B,2.86B,2.93B,3.06B,3.19B,3.29B,3.35B
Cuba,,,,,,,,,,,,1.02B,1.11B,1.17B,1.22B,1.31B,1.4B,1.58B,1.76B,1.98B,2.12B,2.04B,2.23B,2.34B,2.48B,2.68B,2.9B,2.91B,3.06B,3.25B,3.31B,3.25B,3B,2.94B,3.29B,3.27B,3.35B,3.64B,3.79B,3.99B,4.25B,4.49B,4.89B,5.12B,5.01B,5.09B,5.59B,6.13B,6.05B
Cyprus,,,,,,,,,,,,154M,178M,197M,177M,136M,140M,157M,172M,175M,183M,192M,206M,228M,234M,254M,270M,312M,362M,407M,449M,472M,587M,651M,675M,759M,824M,834M,904M,952M,1.05B,1.04B,1.16B,1.29B,1.32B,1.43B,1.5B,1.61B,1.68B
Czech Republic,,,,,,,,,,,,3.23B,3.63B,3.92B,4.23B,4.61B,5.04B,5.33B,5.88B,5.88B,6.17B,6.37B,6.64B,7B,7.52B,8.01B,8.31B,8.73B,8.87B,9.24B,9.63B,9.88B,10.3B,11.4B,13.2B,14.8B,16B,15.5B,14.5B,14.1B,13.8B,14.2B,14.1B,14.5B,14.5B,14.7B,15.2B,14.7B,14.7B
Germany,12.2B,13.9B,16.1B,19.3B,21.2B,23.9B,26.7B,29.5B,33.1B,37.5B,57.9B,64.9B,72.5B,78.6B,83.7B,89B,95.8B,101B,109B,112B,115B,117B,118B,122B,127B,133B,134B,140B,136B,136B,137B,122B,123B,126B,125B,127B,134B,131B,131B,131B,131B,134B,137B,139B,140B,141B,142B,140B,140B
Denmark,,,,,,,,,,,,,,6.6B,6.26B,6.57B,6.7B,6.9B,7.27B,7.68B,7.44B,7.37B,7.42B,8.04B,8.46B,9.14B,9.58B,9.97B,9.94B,9.9B,9.67B,10.1B,10.2B,10.3B,10.4B,10.3B,10.6B,10.3B,10.3B,10.3B,10.2B,10.2B,10.2B,10.3B,10.3B,10.4B,10.6B,10.3B,10.3B
Dominican Republic,,,,,,,,,,,,770M,1.05B,1.13B,1.09B,1.24B,1.2B,1.35B,1.32B,1.58B,1.51B,1.57B,1.2B,1.23B,1.37B,1.69B,1.68B,1.85B,1.87B,1.67B,2.49B,2.72B,2.98B,2.86B,3.01B,2.89B,3.6B,3.63B,3.82B,3.91B,4.28B,2.84B,3.17B,4.44B,4.54B,4.22B,4.17B,4.37B,4.33B
Algeria,,,,,,,,,,,,387M,436M,511M,575M,635M,755M,835M,974M,1.09B,1.06B,1.16B,1.49B,1.64B,2.04B,2.3B,3.82B,4.2B,4.6B,5.23B,6.06B,6.42B,7.12B,7.13B,7.61B,7.97B,8.44B,8.54B,9.59B,10.6B,11.3B,12B,12.8B,14.3B,14.9B,17.3B,16.6B,17.7B,19.9B
Ecuador,,,,,,,,,,,,304M,341M,356M,400M,550M,600M,700M,800M,884M,1.03B,1.12B,1.21B,1.34B,1.34B,1.4B,1.42B,1.66B,1.69B,1.72B,1.87B,2.02B,2.14B,2.2B,2.43B,2.57B,2.9B,3.25B,3.4B,2.94B,2.79B,2.9B,3.1B,3.33B,3.53B,3.7B,3.9B,4.1B,4.38B
Egypt,,,,,,,,,,,,2.03B,2.04B,2.06B,2.35B,2.67B,3.02B,3.51B,3.66B,4.03B,4.56B,5.09B,5.49B,6.82B,7.76B,8.85B,9.81B,10.8B,11.4B,12.4B,13.3B,14.2B,14.4B,15.2B,15.9B,16.8B,17.1B,17.9B,19.9B,21.8B,23.6B,25.7B,27.7B,29.8B,31.3B,33.9B,36.6B,40.3B,43.8B
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36M,31M,32M,36M,42M,49M,57M,61M,61M,69M,78M,85M,92M,98M,94M,100M,102M
Spain,1.97B,2.32B,2.41B,2.9B,2.92B,3.29B,4.13B,5.4B,6.39B,7.57B,8.88B,9.11B,10.1B,10.8B,11.4B,12.4B,14.1B,14.4B,16B,17.7B,19.6B,20.4B,20.3B,21.8B,23.5B,23.3B,24.9B,26.6B,27.1B,29.5B,30.2B,30.9B,31.4B,32.4B,34.8B,36B,37.5B,40.1B,41.7B,45.5B,43.6B,49.7B,50.6B,54.2B,58.1B,62.6B,70.8B,71.3B,72B
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929M,1.13B,1.23B,1.09B,1.27B,1.07B,1.23B,1.21B,1.35B,1.36B,1.47B,1.58B,1.58B,1.59B,1.62B,1.62B,1.68B,1.77B,1.84B
Ethiopia,,,,,,,,,,,,96M,87M,85M,87M,89M,94M,98M,111M,126M,151M,157M,170M,181M,196M,216M,217M,200M,256M,261M,309M,365M,405M,437M,481M,530M,558M,569M,516M,497M,520M,395M,591M,644M,711M,769M,977M,1.12B,1.18B
