country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Bonaire, Saint Eustatius and Saba",0.149387057,0.128452486,0.134057686,0.147221412,0.141021721,0.137115067,0.123017142,0.115033979,0.14170114,0.13176465,0.172444809,0.192869816,0.167858737,0.162763101,0.180555363,0.163654837,0.118515997,0.253168173,0.13223175,0.112613552,0.118133824,0.121573378,0.115798324,0.129471614,0.066540511,0.166160192,0.194483434,0.037283069,0.033145503,0.032650794,0.062153439,0.066560847,0.053113757,0.043759259,0.067550265,0.064761905,0.064087302,0.059949735,0.062738095,0.003462963,0.025949735,0.068854497,0.070113757,0.067595238,0.067640212,0.070968254,0.070338624,0.073306878,0.082526455,0.079378307,0.081222222,0.05594709,0.071373016,0.085,0.088,0.088,0.089,0.09,0.091,0.093705602,0.091252917
Bosnia and Herzegovina,1.314820655,1.436208985,1.505391452,1.544809158,1.718547674,1.94702576,2.003286873,1.985101474,2.005121803,2.144586694,2.22356962,2.905689567,3.131487059,2.934920845,3.505816329,3.520939123,3.673661192,3.79142478,3.686713301,4.119572693,4.480574146,4.405422862,4.79454375,4.404132999,4.742525855,5.001395398,5.101712888,5.327854888,5.201295915,5.366930325,5.350442826,5.298496239,3.748650855,4.101408465,3.433252587,0.874560278,0.92870877,1.156783866,2.283099248,2.879720047,2.820400496,3.739437397,3.620028153,3.868068011,3.916538401,4.220102092,4.379362426,4.745311136,4.769195394,5.447229476,5.605102092,5.771207399,6.485068011,6.041553124,5.950068011,5.27046461,5.038395677,5.931464124,5.94746461,6.027866315,7.265581916
Botswana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006,0.014,0.024,0.051,0.162,0.213,0.227,0.257,0.269,0.275,0.3,0.281,0.285,0.316,0.291,0.338,0.355,0.39,0.737,0.719,0.758,0.872,0.827,0.831,0.752,0.764,0.912,0.862,1.031,1.05,1.085,1.044,1.063,1.117,1.128,1.154,1.229,1.052273431,1.238081071,1.099534555,1.385534533,1.545562184,1.869555166,1.480555166,1.728555166,1.926555166,1.860103264,1.723905152
Brazil,10.64876646,12.78706898,13.41280095,14.63740432,15.16128228,15.46579607,15.37380338,17.52500964,18.03477301,21.08934969,22.96198401,25.52688002,27.93611931,31.11744764,36.03155291,39.00854632,41.07905525,42.13921257,44.2353544,48.0162381,51.07944278,50.69824063,46.52508469,46.61281259,45.14927321,45.74388344,49.10938314,53.82811602,56.16504956,56.64928154,57.89127829,56.4741048,59.28702531,59.60244082,62.31801747,65.35768705,69.75533198,76.74530131,80.94580846,84.14452358,86.32162664,88.48963974,90.88084061,89.36540175,86.65619617,91.06854367,93.36421179,93.3259738,97.41232314,103.8058811,98.27805022,112.2380437,117.3469891,125.5725983,135.1110175,142.9841785,135.1565799,130.5793671,132.2565855,127.3606178,127.1058324
British Virgin Islands,NaN,NaN,NaN,0.001,0.001,0.002,0.002,0.003,0.001,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.012,0.01,0.011,0.011,0.013,0.015,0.017,0.018,0.018,0.018,0.02,0.023,0.024,0.027,0.03,0.032,0.032,0.033,0.033,0.034,0.035,0.037,0.04,0.044,0.049,0.05,0.051,0.052,0.052,0.054,0.055,0.055,0.055,0.058,0.058,0.058,0.046,0.047367667,0.046127848
Brunei Darussalam,0.089,0.091,0.083,0.101,0.097,0.093,0.091,0.134,0.12,0.117,0.133,2.239,2.05,2.58,2.722,2.232,1.931,1.643,1.744,2.602,2.029,1.877,0.401,0.571,0.738,0.523,0.708,0.627,0.905,1.559,1.731,1.689,1.448,1.422,1.355,1.28,1.306,1.294024115,1.346,1.408,1.038,1.253,1.198,1.161,1.2200232,1.33,1.329,1.293,2.268,2.454,2.114011682,2.2,2.605,2.591014074,2.082,2.436,1.898,2.058987998,2.607,2.609279182,2.480537102
Bulgaria,5.355418504,6.078247901,7.081069764,8.379915669,9.381566929,11.68615331,12.62803953,13.29585323,15.04030149,16.22912355,18.09708276,16.69595323,17.52771797,18.03464025,18.7547129,19.41499167,19.90234503,19.91397716,20.68664368,22.16350652,21.54145797,21.08367185,21.85775114,24.52079221,24.58004995,23.75680464,24.35080059,24.88326108,24.91079561,23.72088615,23.60322796,20.93312639,16.71195326,15.55961573,15.74116735,15.30663936,15.75228328,15.85917569,15.24597964,14.54017933,12.65556326,12.36491045,13.37722059,12.62515635,13.78538999,13.52912954,13.82544395,14.16354233,15.21311265,14.75970454,12.49284144,13.06302685,14.51365819,13.1956901,11.64014948,12.32787382,13.1534607,12.37819962,12.96538306,11.88635345,11.46464885
Burkina Faso,0.002,0.012,0.025,0.023,0.024,0.03,0.028,0.028,0.028,0.028,0.033,0.039,0.041,0.044,0.046,0.056,0.06,0.057,0.068,0.095,0.111,0.118,0.152,0.157,0.162,0.127,0.13,0.131,0.141,0.151,0.224,0.159,0.171,0.172,0.171,0.176,0.170270226,0.192265226,0.219075283,0.234069032,0.249501355,0.28135829,0.270656623,0.273219487,0.293206617,0.300193748,0.306180879,0.370151152,0.434107839,0.473398278,0.499505623,0.555905168,0.581399142,0.715053996,0.781706278,0.79476707,0.899992991,0.922880907,1.074880907,1.130006017,1.173933058
Burundi,0.010628571,0.009942857,0.013028571,0.012,0.013,0.013,0.01,0.013,0.013,0.015,0.02,0.017,0.02,0.02,0.02,0.025,0.021,0.024,0.027,0.028,0.03,0.04,0.043,0.043,0.056,0.06,0.063,0.064,0.068,0.062,0.073,0.057,0.065,0.059,0.062,0.064,0.065,0.066,0.068,0.068,0.069,0.074,0.056,0.058,0.044,0.054,0.042,0.05,0.055,0.057,0.046,0.081,0.096837446,0.10367715,0.10893529,0.102772167,0.106889942,0.120886163,0.149886163,0.155029395,0.158238407
Cambodia,0.058,0.064,0.078,0.084,0.106,0.092991976,0.109943228,0.127935118,0.113935118,0.133935118,0.366934941,0.319959449,0.067935118,0.031943228,0.034910787,0.019943228,0.019943228,0.019861896,0.019780563,0.013957033,0.008,0.078,0.082,0.092,0.1,0.112,0.114,0.118,0.119,0.123,0.123,0.344,0.356,0.368,0.378,0.400396106,0.420383514,0.435929635,0.416226185,0.528208197,0.517,0.539,0.614,0.602,0.649,0.667,0.757,0.818,0.942267825,1.038478824,1.246265065,1.372956292,1.393360337,1.455655453,1.494483227,1.778498637,2.305206318,2.653940542,3.052940542,4.224626473,4.374173619
