country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oman,0,0,0,0,0,0,0,0,260k,438k,556k,655k,716k,890k,1.12M,1.42M,1.66M,1.86M,1.88M,1.95M,2.1M,2.13M,2.33M,2.24M,2.34M,3.28M,3.55M,4.04M,4.19M,4.42M,8.87M,13.3M,14.3M,15.8M,16M,17.9M,20.9M,21.2M,20.8M,20.6M,22.1M,23.3M,24.4M,26.5M,25.2M,26.4M,27.1M,27.8M,31M,31.2M
Pakistan,2.5M,2.5M,2.31M,2.63M,2.91M,3.27M,3.34M,3.65M,3.75M,4.22M,5.16M,5.62M,6.13M,6.05M,6.2M,6.33M,6.79M,7.27M,7.71M,8.22M,8.78M,9.48M,9.3M,10.7M,10.9M,11.2M,12.2M,12.1M,12.8M,14.6M,15.4M,16.3M,17.7M,22M,26.4M,28M,28.6M,29.1M,29.8M,29.8M,30.4M,30.4M,31.5M,30.6M,30.1M,30.1M,29.8M,29.8M,29.4M,29.1M
Peru,342k,408k,392k,384k,396k,488k,530k,526k,550k,508k,546k,627k,658k,434k,586k,457k,485k,482k,454k,385k,369k,346k,312k,329k,343k,332k,337k,199k,338k,340k,286k,306k,366k,433k,712k,1.26M,1.47M,2.21M,3.01M,3.08M,6.29M,9.87M,10.3M,10.7M,11.3M,10.9M,12.1M,11.2M,11M,11.6M
Poland,4.4M,4.54M,4.8M,4.87M,4.71M,4.85M,5.28M,5.56M,5.96M,5.35M,4.54M,4.04M,3.72M,3.64M,4M,4.13M,3.75M,3.77M,3.74M,3.46M,2.38M,2.66M,2.56M,3.27M,3.1M,3.17M,3.14M,3.2M,3.25M,3.1M,3.31M,3.49M,3.57M,3.61M,3.93M,3.88M,3.88M,3.9M,3.69M,3.68M,3.69M,3.85M,3.91M,3.82M,3.73M,3.68M,3.55M,3.47M,3.42M,3.43M
Qatar,894k,894k,982k,1.41M,1.16M,1.78M,974k,1.38M,1.32M,3.88M,4.22M,3.85M,4.5M,4.66M,5.28M,4.86M,5.16M,4.99M,5.22M,5.52M,5.61M,6.79M,7.07M,7.37M,7.69M,8M,8.34M,11.5M,14M,18.4M,22.2M,24M,26.3M,27.9M,34.9M,40.8M,45.1M,56.2M,68.5M,79.5M,106M,129M,140M,145M,146M,150M,149M,145M,152M,153M
Romania,18.7M,20M,20.4M,21.6M,22.3M,24.3M,26.5M,28M,28.2M,27M,27.8M,29.3M,29.6M,29.4M,29.2M,27.9M,28.2M,26.8M,26.3M,23.6M,22.9M,20.1M,17.6M,16.8M,14.8M,14.4M,13.8M,11.9M,11.1M,11.2M,11M,10.8M,10.6M,10.4M,10.4M,9.7M,9.56M,9.23M,8.99M,8.94M,8.62M,8.67M,8.68M,8.6M,8.77M,8.79M,7.78M,8.61M,8.56M,8.32M
Russia,,,,,,,,,,,,,,,,365M,398M,430M,466M,487M,516M,508M,509M,489M,480M,465M,475M,450M,465M,468M,462M,460M,471M,491M,501M,507M,520M,517M,526M,461M,515M,530M,518M,528M,508M,503M,507M,546M,575M,584M
Saudi Arabia,1.32M,1.1M,1.25M,1.47M,1.86M,2.21M,2.39M,3.36M,4.64M,5.69M,7.94M,9.26M,9.82M,9.58M,14.9M,15.4M,20.6M,21.9M,23.8M,24.3M,27.4M,28.7M,31.2M,32.7M,34.9M,35.1M,36.3M,37M,38.2M,37.7M,40.7M,43.9M,46.3M,49.1M,53.7M,58.2M,60M,60.8M,65.7M,64.1M,71.6M,75.4M,81.1M,81.7M,83.6M,85.3M,90.6M,93.9M,96.4M,97.7M
Syria,0,0,0,0,0,0,27k,30.1k,29k,29.9k,40.2k,40.6k,42.3k,64.3k,109k,129k,326k,321k,760k,1.24M,1.37M,1.6M,1.65M,1.64M,1.77M,2.24M,2.38M,3.7M,4.66M,4.62M,4.62M,4.73M,5.24M,5.55M,5.11M,4.94M,5.07M,4.86M,4.78M,5.28M,7.25M,6.38M,5.23M,4.3M,3.97M,3.48M,3.04M,3M,3.09M,3.2M
Thailand,0,0,0,0,0,0,0,0,0,0,0,234k,1.19M,1.41M,2.1M,2.76M,3.22M,4.5M,5.33M,5.33M,5.8M,7.19M,7.67M,8.64M,9.55M,10.1M,11.7M,14.4M,15.6M,17.1M,18M,17.5M,18.3M,19.1M,19.9M,21.1M,21.6M,23.1M,25.6M,25.3M,29M,29.1M,33.1M,33.5M,33.6M,32.2M,32M,30.9M,29.9M,30.8M
Turkmenistan,,,,,,,,,,,,,,,,67.7M,68.9M,71.7M,71.9M,73.2M,68.1M,65.5M,43.3M,50.6M,27.8M,25.1M,27.3M,13.4M,10.3M,17.7M,36.5M,39.8M,41.5M,45.9M,45.3M,48.9M,48.7M,53M,53M,28.7M,34.5M,48.4M,50.7M,50.7M,54.6M,56.6M,54.4M,50.5M,52.9M,54.3M
Trinidad and Tobago,1.53M,1.6M,1.66M,1.59M,1.45M,1.32M,1.49M,1.75M,2.09M,2.16M,2.44M,2.68M,3.26M,3.38M,3.54M,3.62M,3.71M,3.93M,4.52M,4.53M,4.7M,4.76M,4.6M,5.16M,5.91M,6.35M,7.17M,7.78M,7.78M,9.81M,11.9M,12.7M,14.8M,21.7M,24.6M,25.8M,30.6M,32.4M,32.2M,33.2M,34.6M,33.3M,33.1M,33.3M,32.7M,30.9M,26.9M,27.4M,29.2M,29.7M
Ukraine,,,,,,,,,,,,,,,,34.9M,32.3M,29M,26.4M,25.1M,22.9M,19.9M,17.1M,15.6M,14.8M,13.8M,14M,14.2M,13.6M,13.7M,13.6M,13.9M,15.2M,15.7M,16.7M,16.9M,17.2M,17.2M,17.5M,17.5M,16.7M,16.8M,16.7M,17.3M,17.4M,16.2M,16.4M,16.7M,16.9M,16.8M
United States,491M,505M,504M,503M,481M,445M,442M,444M,442M,455M,451M,447M,415M,376M,408M,385M,375M,389M,399M,405M,416M,413M,417M,421M,439M,433M,439M,440M,445M,439M,446M,457M,440M,445M,433M,421M,431M,449M,470M,479M,495M,531M,558M,564M,606M,637M,625M,642M,719M,792M
USSR,161M,173M,180M,192M,212M,236M,261M,282M,303M,331M,354M,379M,408M,436M,478M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,28.1M,31.4M,32.4M,32.5M,33.4M,31.6M,32.5M,33.1M,34.9M,36.6M,37.3M,38M,39M,42.5M,43.2M,43.8M,44.3M,45.3M,45.7M,46.3M,47M,48.7M,50.6M,52.5M,50.2M,49.1M,48.7M,48.6M,48.1M,48.4M,46.1M,45.7M,45.9M,49.1M,48.4M
Venezuela,7.36M,7.13M,7.09M,8.73M,9.23M,8.98M,11.1M,12.1M,12.3M,13.7M,14.1M,14.2M,15.2M,14.9M,16.5M,16.5M,18.2M,17.7M,18.2M,18.6M,21M,20.9M,20.6M,22.3M,23.6M,26.2M,28.4M,29.4M,30.9M,26.2M,26.7M,28.2M,27.1M,24.1M,27.1M,26.2M,30M,32M,28.7M,27.3M,26.2M,26M,27.4M,26.3M,27.3M,31M,32M,33.2M,27.2M,22.7M
Vietnam,0,0,0,0,0,0,0,0,0,0,0,8300,15.8k,54.3k,47.3k,29.5k,30.7k,30.7k,23.2k,27.4k,33.2k,59.7k,174k,207k,207k,121k,238k,441k,747k,1.08M,1.33M,1.66M,1.99M,1.97M,3.45M,5.34M,5.81M,5.87M,6.22M,6.65M,7.8M,7.04M,7.76M,8.09M,8.47M,8.85M,8.8M,8.19M,8.31M,8.47M
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672k,5.38M,8.1M,6.55M,8.9M,8.39M,2.46M,431k,517k,493k,497k
